name,population,fca8,fca23,fca43,fca45,fca77,fca78,fca90,fca96,fca37
N100,P01,135135,136146,137149,120126,150150,144148,191199,107113,208216
N104,P01,121135,136140,139139,128128,150154,142150,187199,103113,208208
N105,P01,137137,136140,145145,120126,150150,142150,199199,101103,182182
N106,P01,135135,132136,139145,122126,150156,142150,187199,101113,182208
N107,P01,121135,132136,139145,122128,150154,142150,187199,103113,182208
N108,P01,135135,132136,139145,122128,150158,142150,193199,103113,208208
N109,P01,137137,136140,139145,120126,144150,142150,187199,103115,182208
N111,P01,135135,138146,139139,122132,158158,142142,185201,091113,208214
N112,P01,121137,132136,141145,122130,150150,142150,193199,103103,182206
N113,P01,123137,136142,139139,116118,158158,142148,199199,091101,208214
N114,P02,143143,130146,143143,126130,144158,142148,199199,091117,208208
N115,P02,135135,130146,139145,120134,144156,142150,187199,091113,208208
N116,P02,143143,130130,135139,120134,144156,142150,193197,091091,208208
N117,P02,135143,130146,135145,116134,144156,142150,197197,091113,186208
N118,P02,135143,130130,141157,116120,144158,142150,193197,091113,186208
N119,P02,135135,130136,141141,120126,144152,142150,193199,091103,182224
N120,P02,123139,130136,141141,126126,154154,142142,199199,091091,208208
N121,P02,135143,146146,135135,116116,156156,142150,199199,091113,208224
N122,P02,143143,130146,133135,116120,156156,142142,199199,091091,182208
N123,P02,135135,140146,135141,128130,154154,142148,199199,113119,208208
N125,P02,135139,132146,139145,120126,148162,142142,185199,105113,206206
N126,P02,135139,130136,141147,126126,144144,142150,193199,091113,208208
N127,P02,135145,132136,141147,126134,148156,142150,185199,105113,208208
N128,P02,135139,136146,141145,118128,148162,142142,199199,113113,208208
N129,P02,143143,136136,139139,122132,152152,144150,193197,105113,208208
N130,P02,123143,132146,139139,122128,148156,142150,199199,113113,208220
N131,P02,143143,136136,139139,122130,152152,142142,193197,091113,208208
N132,P02,135143,136136,141141,128128,148148,142150,199199,105113,208208
N133,P02,135143,140140,139139,120120,152152,142142,199205,091113,208220
N134,P02,135135,142146,139145,126126,150156,142142,185199,091113,208208
N135,P02,129145,130140,137137,116126,158158,142148,193199,113113,208208
N136,P02,129141,136136,145145,126126,144150,142142,193193,113113,182216
N137,P03,137141,136146,143143,126126,158158,148148,189199,113113,182216
N138,P03,129135,136146,137141,126126,144150,142142,193199,113117,182208
N139,P03,129137,136142,137137,126126,150160,142142,193195,113113,208216
N140,P03,129141,136136,139145,120126,144160,142150,193193,113113,182182
N141,P03,129133,130136,135145,126128,144150,140140,193199,091113,182208
N142,P03,129133,130130,135145,128130,152156,142142,193199,091091,208208
N143,P03,133133,130136,135135,128130,156156,142142,199199,091091,182206
N144,P03,131135,136136,137137,126130,152152,140142,199199,091091,208208
N145,P03,129135,136146,135135,128130,144144,142142,193199,091091,182192
N146,P03,129133,130144,133133,126126,144144,140140,191191,091091,182192
N147,P03,129135,138138,135135,120126,146158,140148,191199,091113,182182
N148,P03,135135,136144,135145,126126,146156,140150,185191,091091,182182
N149,P04,131135,130136,135137,120126,152158,142150,191199,101121,208208
N151,P04,129133,136136,135145,128130,146158,142142,193199,091113,182206
N153,P04,131135,136136,135145,128128,146158,140148,193199,113113,182208
N154,P04,133135,130130,137145,128128,148160,142142,193199,091091,208208
N155,P04,131133,136146,135135,126130,144148,142142,191191,113113,182192
N156,P04,131135,136136,135145,128128,144144,140140,193199,113113,182194
N157,P04,135135,136136,135145,120128,144156,140140,185203,091113,182194
N158,P04,129137,136146,145145,120126,148148,142142,191199,107109,208208
N159,P04,131131,130136,135145,118128,144156,140140,199199,091113,182208
N160,P04,129129,136136,137137,126126,150154,142148,199199,091091,182208
N161,P04,131135,130146,135137,120130,152152,142148,193199,091091,208214
N162,P04,129131,130136,133133,130132,142154,140140,193199,091091,208208
N163,P04,135135,136136,135145,126128,144144,140148,197197,113113,182208
N164,P04,135135,136146,135145,126126,150158,142142,189203,091091,182208
N165,P04,131135,146146,135145,126128,158158,142142,185189,113113,206206
N166,P04,131131,138146,139139,120126,156160,142148,189197,091113,208208
N167,P04,137137,142142,145149,126126,156160,142152,189189,117117,208208
N168,P04,131131,136146,139145,126128,156160,142148,185197,091115,182208
N169,P04,131137,136146,135149,118126,150160,142142,185197,117117,208208
N170,P04,131131,144144,135145,120126,150160,142142,197197,091105,206206
N171,P04,129129,136146,145149,120126,150158,142152,189197,091117,208208
N172,P04,129131,146146,139145,126132,156156,142148,189197,091117,208214
N173,P04,131133,136136,143143,126132,156156,142142,189197,091117,208208
N174,P05,129131,138146,145149,116120,150154,142152,189197,091117,208214
N175,P05,129131,138146,139145,126132,156160,142148,189197,091115,182208
N176,P05,131133,138146,139145,126132,158158,142152,191191,091117,184208
N182,P05,000000,136146,139145,126132,156156,142150,193199,113113,208208
N183,P05,149149,136146,139145,126132,156156,142142,199199,103113,208208
N184,P05,000000,136136,139145,126132,156156,150150,199199,103113,208208
N185,P05,149149,146146,139141,126126,144158,142142,193195,113113,214214
N186,P05,000000,136146,139141,126128,144156,142150,193193,113113,206214
N187,P05,149149,138146,139139,120126,156156,140140,193199,113113,208208
N188,P05,000000,138138,139141,126126,156156,144144,193193,091113,208208
N189,P05,000000,136146,135139,126126,152160,144144,193199,111111,208208
N190,P05,000000,140140,135135,126126,152152,142142,193199,113113,182208
N191,P05,000000,142142,135135,126126,152160,142142,193199,113117,182208
N192,P05,000000,138146,135135,126126,150156,142142,193199,091091,182206
N193,P05,127133,136146,139139,116120,144150,144148,197197,103115,184208
N194,P06,119133,146146,139139,120126,144150,146146,195195,107113,184208
N195,P06,000000,136136,139145,120120,148150,150150,195199,103113,184184
N196,P06,117133,136146,133133,120126,144150,140144,195195,113113,184208
N197,P06,000000,142142,139149,130130,150156,142142,185203,091113,208208
N198,P06,000000,146146,139139,126134,144150,142148,191195,091091,184184
N199,P06,000000,136146,135139,126134,144150,144150,197197,113113,184208
N200,P06,000000,136136,135135,120134,144150,140144,195195,111111,208208
N201,P06,000000,136136,139145,126130,144150,150150,197197,115115,184204
N202,P06,121145,132140,141145,116120,150156,142150,199199,103113,204208
N203,P06,137141,136136,135145,116126,144150,140150,193199,109117,204208
N204,P06,135135,128150,139141,126134,144156,142150,193193,115115,206208
N206,P07,000000,132136,137141,120126,148156,142150,185193,103113,208208
N207,P07,135135,136146,139145,126130,150158,142150,185193,091103,208208
N209,P07,121137,132140,137145,120130,152152,142150,185195,109115,184184
N210,P07,123141,136146,137137,120126,144152,140148,193195,105117,184208
N211,P07,137137,132146,135141,126130,144156,144150,197197,103115,184208
N212,P07,139143,138138,137137,120126,158158,142150,193197,091091,208208
N215,P07,000000,136146,139139,116120,156156,142148,199199,113113,208208
N216,P07,000000,146146,139145,120126,156156,142148,185199,113113,208208
N217,P07,135143,136146,141141,116116,152156,142142,197197,113113,210210
N218,P07,133135,138138,139141,116126,150150,142148,199199,091105,208208
N219,P07,133135,140146,141145,126126,152152,142148,193199,113113,208208
N220,P07,135143,136146,145149,120126,150156,148148,193195,091113,208208
N221,P07,135135,136146,139145,116126,152152,142148,199199,105113,208208
N222,P07,135143,136146,135149,120126,154158,142148,193197,091091,208212
N223,P08,137143,136146,139139,116126,150160,142142,197197,105113,208212
N224,P08,135135,132132,141145,120126,150156,148148,197197,091105,208208
N227,P08,133135,130150,135145,120132,144150,142148,185195,091091,208208
N228,P08,133137,130150,135145,120120,150156,142148,181185,091113,206208
N229,P08,137143,130130,139145,120132,150158,142148,197199,091109,206208
N230,P08,135137,136150,139145,120126,150150,142148,181199,091113,208208
N231,P08,137143,130136,135139,120128,158162,142148,199199,091109,210210
N232,P08,137137,130150,139145,120126,150150,148150,197197,091113,208208
N233,P08,135135,130150,135145,120126,150156,152152,193197,109109,208208
N234,P08,135143,130136,135139,126126,150158,142150,193199,091091,208216
N235,P09,137143,130136,135139,126128,150158,142150,199199,111111,208216
N236,P09,133143,128136,139139,126128,156162,142150,193199,091105,208208
N239,P09,137137,132136,139141,120126,150150,148148,197197,103113,208208
N24,P09,137137,132144,139139,126132,154154,142148,193199,091107,208208
N240,P09,137137,132132,135141,122126,150150,148148,185203,103113,206208
N245,P09,141145,136136,135141,120126,154154,142142,193199,091111,208216
N246,P09,123141,136148,135141,120120,154154,142152,199199,115119,208208
N247,P09,141141,140148,135149,122128,142148,142142,187187,113115,204208
N25,P09,137137,132144,137141,126126,142154,142150,197197,091107,208208
N250,P10,137141,136136,139145,122126,142156,142146,185185,103113,206208
N251,P10,137143,136136,135139,122128,142152,142152,199199,091103,206208
N252,P10,137139,140140,145145,126128,142152,142150,193199,091103,206208
N253,P10,135143,140146,145145,122126,142154,150150,193193,103113,206208
N254,P10,135143,128146,139149,122128,150156,140146,191193,109113,208210
N255,P10,135143,136136,139141,122128,144156,142142,191197,091091,206206
N256,P10,139139,136140,139149,126126,144150,150150,191199,091091,208210
